freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
Annual,Number,Intentional homicide,Mittelburgenland,2019,0,,
Annual,Number,Intentional homicide,Mittelburgenland,2020,1,,
Annual,Number,Intentional homicide,Mittelburgenland,2021,0,,
Annual,Number,Intentional homicide,Mittelburgenland,2022,1,,
Annual,Number,Intentional homicide,Mittelburgenland,2023,0,,
Annual,Number,Intentional homicide,Nordburgenland,2019,1,,
Annual,Number,Intentional homicide,Nordburgenland,2020,2,,
Annual,Number,Intentional homicide,Nordburgenland,2021,2,,
Annual,Number,Intentional homicide,Nordburgenland,2022,1,,
Annual,Number,Intentional homicide,Nordburgenland,2023,1,,
Annual,Number,Intentional homicide,Südburgenland,2019,2,,
Annual,Number,Intentional homicide,Südburgenland,2020,0,,
Annual,Number,Intentional homicide,Südburgenland,2021,1,,
Annual,Number,Intentional homicide,Südburgenland,2022,0,,
Annual,Number,Intentional homicide,Südburgenland,2023,3,,
Annual,Number,Intentional homicide,Niederösterreich,2019,17,,
Annual,Number,Intentional homicide,Niederösterreich,2020,14,,
Annual,Number,Intentional homicide,Niederösterreich,2021,10,,
Annual,Number,Intentional homicide,Niederösterreich,2022,9,,
Annual,Number,Intentional homicide,Niederösterreich,2023,13,,
Annual,Number,Intentional homicide,Mostviertel-Eisenwurzen,2019,3,,
Annual,Number,Intentional homicide,Mostviertel-Eisenwurzen,2020,1,,
Annual,Number,Intentional homicide,Mostviertel-Eisenwurzen,2021,1,,
Annual,Number,Intentional homicide,Mostviertel-Eisenwurzen,2022,0,,
Annual,Number,Intentional homicide,Mostviertel-Eisenwurzen,2023,1,,
Annual,Number,Intentional homicide,Niederösterreich-Süd,2019,4,,
Annual,Number,Intentional homicide,Niederösterreich-Süd,2020,5,,
Annual,Number,Intentional homicide,Niederösterreich-Süd,2021,1,,
Annual,Number,Intentional homicide,Niederösterreich-Süd,2022,2,,
Annual,Number,Intentional homicide,Niederösterreich-Süd,2023,5,,
Annual,Number,Intentional homicide,Sankt Pölten,2019,1,,
Annual,Number,Intentional homicide,Sankt Pölten,2020,2,,
Annual,Number,Intentional homicide,Sankt Pölten,2021,3,,
Annual,Number,Intentional homicide,Sankt Pölten,2022,1,,
Annual,Number,Intentional homicide,Sankt Pölten,2023,0,,
Annual,Number,Intentional homicide,Waldviertel,2019,2,,
Annual,Number,Intentional homicide,Waldviertel,2020,1,,
Annual,Number,Intentional homicide,Waldviertel,2021,0,,
Annual,Number,Intentional homicide,Waldviertel,2022,1,,
Annual,Number,Intentional homicide,Waldviertel,2023,2,,
Annual,Number,Intentional homicide,Weinviertel,2019,2,,
Annual,Number,Intentional homicide,Weinviertel,2020,2,,
Annual,Number,Intentional homicide,Weinviertel,2021,3,,
Annual,Number,Intentional homicide,Weinviertel,2022,3,,
Annual,Number,Intentional homicide,Weinviertel,2023,3,,
Annual,Number,Intentional homicide,Wiener Umland/Nordteil,2019,2,,
Annual,Number,Intentional homicide,Wiener Umland/Nordteil,2020,1,,
Annual,Number,Intentional homicide,Wiener Umland/Nordteil,2021,1,,
Annual,Number,Intentional homicide,Wiener Umland/Nordteil,2022,1,,
Annual,Number,Intentional homicide,Wiener Umland/Nordteil,2023,2,,
Annual,Number,Intentional homicide,Wiener Umland/Südteil,2019,3,,
Annual,Number,Intentional homicide,Wiener Umland/Südteil,2020,2,,
Annual,Number,Intentional homicide,Wiener Umland/Südteil,2021,1,,
Annual,Number,Intentional homicide,Wiener Umland/Südteil,2022,1,,
Annual,Number,Intentional homicide,Wiener Umland/Südteil,2023,0,,
Annual,Number,Intentional homicide,Wien,2019,24,,
Annual,Number,Intentional homicide,Wien,2020,11,,
Annual,Number,Intentional homicide,Wien,2021,14,,
Annual,Number,Intentional homicide,Wien,2022,18,,
Annual,Number,Intentional homicide,Wien,2023,20,,
Annual,Number,Intentional homicide,Südösterreich,2019,11,,
Annual,Number,Intentional homicide,Südösterreich,2020,8,,
Annual,Number,Intentional homicide,Südösterreich,2021,11,,
Annual,Number,Intentional homicide,Südösterreich,2022,14,,
Annual,Number,Intentional homicide,Südösterreich,2023,19,,
Annual,Number,Intentional homicide,Kärnten,2019,4,,
Annual,Number,Intentional homicide,Kärnten,2020,2,,
Annual,Number,Intentional homicide,Kärnten,2021,4,,
Annual,Number,Intentional homicide,Kärnten,2022,3,,
Annual,Number,Intentional homicide,Kärnten,2023,3,,
Annual,Number,Intentional homicide,Klagenfurt-Villach,2019,2,,
Annual,Number,Intentional homicide,Klagenfurt-Villach,2020,2,,
Annual,Number,Intentional homicide,Klagenfurt-Villach,2021,2,,
Annual,Number,Intentional homicide,Klagenfurt-Villach,2022,3,,
Annual,Number,Intentional homicide,Klagenfurt-Villach,2023,2,,
Annual,Number,Intentional homicide,Oberkärnten,2019,0,,
Annual,Number,Intentional homicide,Oberkärnten,2020,0,,
Annual,Number,Intentional homicide,Oberkärnten,2021,2,,
Annual,Number,Intentional homicide,Oberkärnten,2022,0,,
Annual,Number,Intentional homicide,Oberkärnten,2023,0,,
Annual,Number,Intentional homicide,Unterkärnten,2019,2,,
Annual,Number,Intentional homicide,Unterkärnten,2020,0,,
Annual,Number,Intentional homicide,Unterkärnten,2021,0,,
Annual,Number,Intentional homicide,Unterkärnten,2022,0,,
Annual,Number,Intentional homicide,Unterkärnten,2023,1,,
Annual,Number,Intentional homicide,Steiermark,2019,7,,
Annual,Number,Intentional homicide,Steiermark,2020,6,,
Annual,Number,Intentional homicide,Steiermark,2021,7,,
Annual,Number,Intentional homicide,Steiermark,2022,11,,
Annual,Number,Intentional homicide,Steiermark,2023,16,,
Annual,Number,Intentional homicide,Graz,2019,1,,
Annual,Number,Intentional homicide,Graz,2020,1,,
Annual,Number,Intentional homicide,Graz,2021,5,,
Annual,Number,Intentional homicide,Graz,2022,7,,
Annual,Number,Intentional homicide,Graz,2023,6,,
Annual,Number,Intentional homicide,Liezen,2019,0,,
Annual,Number,Intentional homicide,Liezen,2020,2,,
Annual,Number,Intentional homicide,Liezen,2021,0,,
Annual,Number,Intentional homicide,Liezen,2022,3,,
Annual,Number,Intentional homicide,Liezen,2023,1,,
Annual,Number,Intentional homicide,Östliche Obersteiermark,2019,0,,
Annual,Number,Intentional homicide,Östliche Obersteiermark,2020,1,,
Annual,Number,Intentional homicide,Östliche Obersteiermark,2021,0,,
Annual,Number,Intentional homicide,Östliche Obersteiermark,2022,1,,
Annual,Number,Intentional homicide,Östliche Obersteiermark,2023,2,,
Annual,Number,Intentional homicide,Oststeiermark,2019,3,,
Annual,Number,Intentional homicide,Oststeiermark,2020,1,,
Annual,Number,Intentional homicide,Oststeiermark,2021,1,,
Annual,Number,Intentional homicide,Oststeiermark,2022,0,,
Annual,Number,Intentional homicide,Oststeiermark,2023,1,,
Annual,Number,Intentional homicide,West- und Südsteiermark,2019,2,,
Annual,Number,Intentional homicide,West- und Südsteiermark,2020,0,,
Annual,Number,Intentional homicide,West- und Südsteiermark,2021,1,,
Annual,Number,Intentional homicide,West- und Südsteiermark,2022,0,,
Annual,Number,Intentional homicide,West- und Südsteiermark,2023,2,,
Annual,Number,Intentional homicide,Westliche Obersteiermark,2019,1,,
Annual,Number,Intentional homicide,Westliche Obersteiermark,2020,1,,
Annual,Number,Intentional homicide,Westliche Obersteiermark,2021,0,,
Annual,Number,Intentional homicide,Westliche Obersteiermark,2022,0,,
Annual,Number,Intentional homicide,Westliche Obersteiermark,2023,4,,
Annual,Number,Intentional homicide,Westösterreich,2019,19,,
Annual,Number,Intentional homicide,Westösterreich,2020,18,,
Annual,Number,Intentional homicide,Westösterreich,2021,21,,
Annual,Number,Intentional homicide,Westösterreich,2022,22,,
Annual,Number,Intentional homicide,Westösterreich,2023,19,,
Annual,Number,Intentional homicide,Oberösterreich,2019,6,,
Annual,Number,Intentional homicide,Oberösterreich,2020,7,,
Annual,Number,Intentional homicide,Oberösterreich,2021,8,,
Annual,Number,Intentional homicide,Oberösterreich,2022,4,,
Annual,Number,Intentional homicide,Oberösterreich,2023,9,,
Annual,Number,Intentional homicide,Innviertel,2019,1,,
Annual,Number,Intentional homicide,Innviertel,2020,0,,
Annual,Number,Intentional homicide,Innviertel,2021,0,,
Annual,Number,Intentional homicide,Innviertel,2022,0,,
Annual,Number,Intentional homicide,Innviertel,2023,1,,
Annual,Number,Intentional homicide,Linz-Wels,2019,2,,
Annual,Number,Intentional homicide,Linz-Wels,2020,4,,
Annual,Number,Intentional homicide,Linz-Wels,2021,4,,
Annual,Number,Intentional homicide,Linz-Wels,2022,3,,
Annual,Number,Intentional homicide,Linz-Wels,2023,5,,
Annual,Number,Intentional homicide,Mühlviertel,2019,0,,
Annual,Number,Intentional homicide,Mühlviertel,2020,3,,
Annual,Number,Intentional homicide,Mühlviertel,2021,1,,
Annual,Number,Intentional homicide,Mühlviertel,2022,0,,
Annual,Number,Intentional homicide,Mühlviertel,2023,1,,
Annual,Number,Intentional homicide,Steyr-Kirchdorf,2019,1,,
Annual,Number,Intentional homicide,Steyr-Kirchdorf,2020,0,,
