Method,Avg Range Error(%),Avg Count Error(%),Avg 2D Error(%)
Manual,0.0,0.0,0.0
Equal Interval,2.67,24.1,11.96
Exponential,118.0,1785.79,8821.55
Geometric Interval,72.05,408.59,914.22
Maximum Breaks,84.8,87.62,176.2
Quantile,88.42,658.24,2477.37
Box Plot,60.29,346.75,767.78
Standard Deviation 1,20.83,729.92,510.05
Head-Tail Breaks,35.94,65.45,118.68
Pretty Breaks,20.0,49.47,40.25
